Valid Flag,データNo,エリアID,ゴルフ場ID,ゴルフ場最小座標（緯度）,ゴルフ場最小座標（経度）,ゴルフ場最大座標（緯度）,ゴルフ場最大座標（経度）,ゴルフ場正式名称（日本語）,登録年,登録月,ゴルフ場名称（日本語）,検索頭文字,ゴルフ場名称（英語）,コース数,偏角,伏角,総磁力,時差,夏時間,コースID,コース最小緯度,コース最小経度,コース最大緯度,コース最大経度,コース正式名称（日本語）,コース名称（日本語）,コース名称（英語）,ホール数,ホールNo表記,ホールNo.,ホール情報（グリーン数）,ホール情報（パー数）,グリーン座標1緯度（センター）,グリーン座標1経度（センター）,グリーン座標1緯度（エッジ）,グリーン座標1経度（エッジ）,グリーン座標1高度（センター）,グリーン座標1高度精度（センター）,グリーン座標2緯度（センター）,グリーン座標2経度（センター）,グリーン座標2緯度（エッジ）,グリーン座標2経度（エッジ）,グリーン座標2高度（センター）,グリーン座標2高度精度（センター）,ティ数,ティ座標1緯度,ティ座標1経度,ティサークル半径1,ティ座標1高度,ティ座標1高度精度,ティ座標2緯度,ティ座標2経度,ティサークル半径2,ティ座標2高度,ティ座標2高度精度,ティ座標3緯度,ティ座標3経度,ティサークル半径3,ティ座標3高度,ティ座標3高度精度,ティ座標4緯度,ティ座標4経度,ティサークル半径4,ティ座標4高度,ティ座標4高度精度,ティ座標5緯度,ティ座標5経度,ティサークル半径5,ティ座標5高度,ティ座標5高度精度,ティ座標6緯度,ティ座標6経度,ティサークル半径6,ティ座標6高度,ティ座標6高度精度,ハザード数,ハザード座標1緯度,ハザード座標1経度,ハザード種別1,ハザード座標2緯度,ハザード座標2経度,ハザード種別2,ハザード座標3緯度,ハザード座標3経度,ハザード種別3,ハザード座標4緯度,ハザード座標4経度,ハザード種別4,ハザード座標5緯度,ハザード座標5経度,ハザード種別5,ハザード座標6緯度,ハザード座標6経度,ハザード種別6,ハザード座標7緯度,ハザード座標7経度,ハザード種別7,ハザード座標8緯度,ハザード座標8経度,ハザード種別8,ハザード座標9緯度,ハザード座標9経度,ハザード種別9,ハザード座標10緯度,ハザード座標10経度,ハザード種別10,ハザード座標11緯度,ハザード座標11経度,ハザード種別11,ハザード座標12緯度,ハザード座標12経度,ハザード種別12,ハザード座標13緯度,ハザード座標13経度,ハザード種別13,ハザード座標14緯度,ハザード座標14経度,ハザード種別14,ハザード座標15緯度,ハザード座標15経度,ハザード種別15,ハザード座標16緯度,ハザード座標16経度,ハザード種別16,ハザード座標17緯度,ハザード座標17経度,ハザード種別17,ハザード座標18緯度,ハザード座標18経度,ハザード種別18,ハザード座標19緯度,ハザード座標19経度,ハザード種別19,ハザード座標20緯度,ハザード座標20経度,ハザード種別20,ハザード座標21緯度,ハザード座標21経度,ハザード種別21,ハザード座標22緯度,ハザード座標22経度,ハザード種別22,ハザード座標23緯度,ハザード座標23経度,ハザード種別23,ハザード座標24緯度,ハザード座標24経度,ハザード種別24,ハザード座標25緯度,ハザード座標25経度,ハザード種別25,ハザード座標26緯度,ハザード座標26経度,ハザード種別26,ハザード座標27緯度,ハザード座標27経度,ハザード種別27,ハザード座標28緯度,ハザード座標28経度,ハザード種別28,ハザード座標29緯度,ハザード座標29経度,ハザード種別29,ハザード座標30緯度,ハザード座標30経度,ハザード種別30,ホール入口緯度,ホール入口経度,ホール入口サークル半径,ホール出口緯度,ホール出口経度,ホール出口サークル半径
56,1,17,1,42.75777548,141.8412327,42.77195434,141.8598585,アーレックスゴルフ倶楽部,2009,7,ｱｰﾚｯｸｽGC,,AHLEX GC,2,9,49,46247,9,0,1,42.76132541,141.8412327,42.77195434,141.8534883,アウト,ｱｳﾄ,OUT,9,1,1,1,4,42.76717193,141.8508399,42.76705029,141.8509349,47.3,1,0,0,0,0,0,0,3,42.76520212,141.8518894,20,61.5,1,42.76463024,141.8523722,20,65.5,1,42.76428102,141.8523883,20,66.8,1,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,4,42.76607245,141.851242,18,42.76621774,141.8512269,19,42.76588915,141.8515197,25,42.76581036,141.8514144,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,17,1,42.75777548,141.8412327,42.77195434,141.8598585,アーレックスゴルフ倶楽部,2009,7,ｱｰﾚｯｸｽGC,,AHLEX GC,2,9,49,46247,9,0,1,42.76132541,141.8412327,42.77195434,141.8534883,アウト,ｱｳﾄ,OUT,9,1,2,1,5,42.77105434,141.8468287,42.77088615,141.8468786,48,1,0,0,0,0,0,0,3,42.76799761,141.8496889,20,49.7,1,42.76785531,141.8499044,20,50.4,1,42.76770561,141.850106,20,50.9,1,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,4,42.76889573,141.8488305,14,42.7690806,141.8487535,15,42.76936393,141.8479838,25,42.76940467,141.8480603,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,17,1,42.75777548,141.8412327,42.77195434,141.8598585,アーレックスゴルフ倶楽部,2009,7,ｱｰﾚｯｸｽGC,,AHLEX GC,2,9,49,46247,9,0,1,42.76132541,141.8412327,42.77195434,141.8534883,アウト,ｱｳﾄ,OUT,9,1,3,1,4,42.76948133,141.8427179,42.76956102,141.8428785,56.3,1,0,0,0,0,0,0,2,42.770294,141.8456463,20,51.8,1,42.77048733,141.8464454,20,54.4,1,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,2,42.76986561,141.8445468,18,42.76984747,141.8443635,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,17,1,42.75777548,141.8412327,42.77195434,141.8598585,アーレックスゴルフ倶楽部,2009,7,ｱｰﾚｯｸｽGC,,AHLEX GC,2,9,49,46247,9,0,1,42.76132541,141.8412327,42.77195434,141.8534883,アウト,ｱｳﾄ,OUT,9,1,4,1,3,42.76872738,141.8447429,42.76875816,141.8445578,45.8,1,0,0,0,0,0,0,4,42.76882252,141.8432607,20,42.3,1,42.76874979,141.8430202,20,46.6,1,42.76885455,141.8426636,20,55,1,42.76874353,141.8423327,20,55,1,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,17,1,42.75777548,141.8412327,42.77195434,141.8598585,アーレックスゴルフ倶楽部,2009,7,ｱｰﾚｯｸｽGC,,AHLEX GC,2,9,49,46247,9,0,1,42.76132541,141.8412327,42.77195434,141.8534883,アウト,ｱｳﾄ,OUT,9,1,5,1,5,42.76518767,141.8495847,42.76528819,141.8494595,65.2,1,0,0,0,0,0,0,3,42.76871577,141.8471435,20,58.2,1,42.76892605,141.8468272,20,59.9,1,42.76903707,141.8465859,20,61.1,1,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,5,42.76748103,141.8490013,8,42.76648753,141.8491821,14,42.76631298,141.8491961,15,42.76781068,141.8478966,14,42.76767946,141.8481236,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,17,1,42.75777548,141.8412327,42.77195434,141.8598585,アーレックスゴルフ倶楽部,2009,7,ｱｰﾚｯｸｽGC,,AHLEX GC,2,9,49,46247,9,0,1,42.76132541,141.8412327,42.77195434,141.8534883,アウト,ｱｳﾄ,OUT,9,1,6,1,4,42.7670258,141.8477358,42.7669215,141.8477599,45.9,1,0,0,0,0,0,0,2,42.76468299,141.8492374,20,60.1,1,42.76448513,141.8496934,20,66.4,1,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,5,42.76585419,141.8476902,8,42.76556304,141.8476124,18,42.76574882,141.847522,19,42.76631065,141.8475469,11,42.76619606,141.847752,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,17,1,42.75777548,141.8412327,42.77195434,141.8598585,アーレックスゴルフ倶楽部,2009,7,ｱｰﾚｯｸｽGC,,AHLEX GC,2,9,49,46247,9,0,1,42.76132541,141.8412327,42.77195434,141.8534883,アウト,ｱｳﾄ,OUT,9,1,7,1,3,42.76763171,141.8455229,42.76767081,141.8456992,53.4,1,0,0,0,0,0,0,3,42.76762086,141.8468693,20,49.2,1,42.76762836,141.8471448,20,53.5,1,42.76761007,141.8473315,20,55.5,1,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,17,1,42.75777548,141.8412327,42.77195434,141.8598585,アーレックスゴルフ倶楽部,2009,7,ｱｰﾚｯｸｽGC,,AHLEX GC,2,9,49,46247,9,0,1,42.76132541,141.8412327,42.77195434,141.8534883,アウト,ｱｳﾄ,OUT,9,1,8,1,4,42.76473584,141.8473223,42.76482572,141.8471526,59.8,1,0,0,0,0,0,0,3,42.76683884,141.845347,20,45.6,1,42.76704082,141.8450808,20,51.8,1,42.76726244,141.8449428,20,54.2,1,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,17,1,42.75777548,141.8412327,42.77195434,141.8598585,アーレックスゴルフ倶楽部,2009,7,ｱｰﾚｯｸｽGC,,AHLEX GC,2,9,49,46247,9,0,1,42.76132541,141.8412327,42.77195434,141.8534883,アウト,ｱｳﾄ,OUT,9,1,9,1,4,42.76222541,141.8520647,42.76228894,141.8519471,61.9,1,0,0,0,0,0,0,3,42.76383208,141.8486606,20,63,1,42.76398757,141.848287,20,65.4,1,42.76415998,141.848051,20,64.7,1,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,3,42.76284593,141.8502111,14,42.76274815,141.8504006,15,42.76253426,141.8512747,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,17,1,42.75777548,141.8412327,42.77195434,141.8598585,アーレックスゴルフ倶楽部,2009,7,ｱｰﾚｯｸｽGC,,AHLEX GC,2,9,49,46247,9,0,2,42.75777548,141.8463455,42.76538509,141.8598585,イン,ｲﾝ,IN,9,10,10,1,4,42.76448509,141.8580837,42.76442719,141.8579215,64.1,1,0,0,0,0,0,0,3,42.76320144,141.8544185,20,61.4,1,42.76316459,141.8541698,20,65.1,1,42.76314719,141.8538076,20,69.3,1,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,4,42.76375066,141.8566251,14,42.76377104,141.8567995,15,42.76366637,141.8563571,14,42.76367843,141.8565269,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
